Home Team,Away Team,FH Goals,SH Goals,20 Min Score,Goals Scored (20),1+ More Goals By FT (20),2+ More Goals By FT (20),3+ More Goals By FT (20),1+ More Goals By HT (20),30 Min Score,Goals Scored (30),1+ More Goals By FT (30),2+ More Goals By FT (30),3+ More Goals By FT (30),1+ More Goals By HT (30),60 Min Score,Goals Scored (60),1+ More Goals By FT (60),2+ More Goals By FT (60),70 Min Score,Goals Scored (70),1+ More Goals By FT (70),2+ More Goals By FT (70),80 Min Score,Goals Scored (80),1+ More Goals By FT (80)
Man Utd,Leicester,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,1 - 1,2,0,0,1 - 1,2,0
Burnley,Man City,2,0,0 - 1,1,1,0,0,1,0 - 2,2,0,0,0,0,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
Chelsea,Brentford,0,5,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,1 - 3,4,1,0,1 - 3,4,1,0,1 - 3,4,1
Leeds,Southampton,1,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Wolves,Aston Villa,2,1,1 - 0,1,1,1,0,1,1 - 0,1,1,1,0,1,2 - 0,2,1,0,2 - 0,2,1,0,2 - 0,2,1
Liverpool,Watford,1,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Tottenham,West Ham,3,1,1 - 0,1,1,1,1,1,2 - 0,2,1,1,0,1,2 - 1,3,1,0,2 - 1,3,1,0,2 - 1,3,1
Leicester,Brentford,2,1,1 - 0,1,1,1,0,1,1 - 0,1,1,1,0,1,2 - 0,2,1,0,2 - 0,2,1,0,2 - 0,2,1
Aston Villa,Arsenal,1,0,0 - 0,0,1,0,0,1,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Wolves,Leeds,2,3,0 - 0,0,1,1,1,1,1 - 0,1,1,1,1,1,2 - 0,2,1,1,2 - 2,4,1,0,2 - 2,4,1
Everton,Newcastle,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Arsenal,Liverpool,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 1,1,1,0,0 - 2,2,0,0,0 - 2,2,0
Brighton,Tottenham,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
