Product Name,Product Price,Product Rating,Number of Reviews,Product Units Sold,Product Category,Product URL,Product Image URL
"Eliminate Stubborn Hard Water Rings with this 1pc Pumice Stone Toilet Bowl Cleaner - Perfect for Bath/Pool/Household Cleaning! , Bathroom Tools",1.59,4.6,8512,42K+,Bath,https://www.temu.com/1pc-pumice-stone-toilet-bowl-cleaner-hard-water-ring-remover-for-bath-pool-household-cleaning-bathroom-accessories-g-601099520866687.html,https://img.kwcdn.com/product/open/2023-07-13/1689254878744-fe9c2246a61343b1881abf65db9d31fd-goods.jpeg?imageView2/2/w/500/q/80/format/webp
2pcs Men's Casual Smile Face Print Pockets Drawstrings Hoodies Sport Sweatshirt & Sweatpants,19.59,4.8,23758,15K+,Men's Sets,https://www.temu.com/2pcs-mens-casual-smile-face-print-pockets-drawstrings-hoodies-sport-sweatshirt-sweatpants-g-601099513929905.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/6d2120c3fa2ffe0e3dd18e65262e499c.jpg?imageView2/2/w/500/q/80/format/webp
"Geometric Strap Hobo Bag, Large Capacity Crossbody Bag, Women's Retro Style Shoulder Bag",11.47,4.7,22055,100K+,Women's tote bags,https://www.temu.com/geometric-strap-hobo-bag-large-capacity-crossbody-bag-womens-retro-style-shoulder-bag-g-601099513764538.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/e92d66ac8b4d4bb20146f277e72f7558.jpg?imageView2/2/w/500/q/80/format/webp
I Should Have Known That! Trivia Game Green Board Game 110 Cards With More Than 400 Questions About Things That You Should Know Card Game Party Game Family,7.59,4.8,15329,38K+,Video Games,https://www.temu.com/i-should-have-known-that-trivia-game-green-board-game-110-cards-with-more-than-400-questions-about-things-that-you-should-know-card-game-party-game-family-g-601099514631250.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/f2728b08f9f9648ad72630c37cb426b5.jpg?imageView2/2/w/500/q/80/format/webp
High Street Hip-hop Creative New Jeans,21.41,4.7,7602,7K+,Men's Jeans,https://www.temu.com/hip-hop-creative-raw-trim-jeans-mens-casual-street-style-stretch-denim-pants-g-601099520874133.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/2123e1d8e516bef083e3c119e516dd44.jpg?imageView2/2/w/500/q/80/format/webp
"Low Plunge Push Up Bra With Clear Straps Low Cut Convertible Underwire Padded Cleavage Bra, Women's Underwear & Lingerie",6.27,4.6,8440,66K+,,https://www.temu.com/sujetador-push-up-de-escote-bajo-con-tiras-transparentes-sujetador-de-escote-con-aros-convertible-convertible-de-corte-bajo-ropa-interior-y-lencer-a-de-mujer-g-601099512696593.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/73c63030ef961d20cc3885ae6132d75c.jpg?imageView2/2/w/500/q/80/format/webp
"1pc Cervical Neck Pillow For Sleeping, 3D SPA Massage Pillow Partition To Help Sleep And Protect The Neck Pillow",17.09,4.5,15606,8.2K+,Bedding,https://www.temu.com/1pc-cervical-neck-pillow-for-sleeping-3d-spa-massage-pillow-partition-to-help-sleep-and-protect-the-neck-pillow-g-601099521558376.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/12b6ec8feb0902ad8600a9bfb338bb57.jpg?imageView2/2/w/500/q/80/format/webp
"1pc 50cm/19.68in Children's Multifunctional Cartoon Folding Small Sofa, Kindergarten Baby Learns To Sit On The Seat, Boys And Girls Lazy Sofa Can Be Disassembled And Washed",19.43,4.7,7305,15K+,,https://www.temu.com/1pc-50cm-19-68in-childrens-multifunctional-cartoon-folding-small-sofa-kindergarten-baby-learns-to-sit-on-the-seat-boys-and-girls-lazy-sofa-can-be-disassembled-and-washed-g-601099514918861.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/2ebe64f0acd706b15b1fc9e2ab7e0868.jpg?imageView2/2/w/500/q/80/format/webp
Cotton Denim Shirt Men Long Sleeve Quality Cowboy Shirts For Men Casual Slim Fit Mens Designer Clothing,19.77,4.7,16934,31K+,Men's Casual & Dress Shirts,https://www.temu.com/cotton-denim-shirt-men-long-sleeve-quality-cowboy-shirts-for-men-casual-slim-fit-mens-designer-clothing-g-6017592186091728.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/be3a1ea90f9436d4eb577203d3e83d72.jpg?imageView2/2/w/500/q/80/format/webp
"Touch Screen Mobile Phone Bag, Mini Flap Crossbody Bag, Fashion Faux Leather Purse, Vertical Wallet With Card Slots",6.47,4.6,17056,65K+,Women's shoulder bags,https://www.temu.com/touch-screen-mobile-phone-bag-mini-flap-crossbody-bag-fashion-faux-leather-purse-vertical-wallet-with-card-slots-g-601099516176618.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/47acd65203474e8a1cc8d31eb292c733.jpg?imageView2/2/w/500/q/80/format/webp
"Women's Chunky Low Heel Over The Knee Boots, Solid Color Lace Up Shoes, Comfort Round Toe Shoes",18.87,4.6,58120,5.3K+,Women's Over the knee Boots,https://www.temu.com/womens-chunky-low-heel-over-the-knee-boots-solid-color-lace-up-shoes-comfort-round-toe-shoes-g-601099512761625.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/9a2d0c4a0180779b3e919bc5a37e2ac3.jpg?imageView2/2/w/500/q/80/format/webp
"Color Block Crew Neck Sweatshirt, Casual Fashion Loose Long Sleeve Pullover, Women's Clothing",7.97,4.6,16387,21K+,,https://www.temu.com/color-block-crew-neck-sweatshirt-casual-fashion-loose-long-sleeve-pullover-womens-clothing-g-601099512397799.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/a353b4740c0340d1d291fda3da034f91.jpg?imageView2/2/w/500/q/80/format/webp
"Letter Print Pullover Sweatshirt, Casual Long Sleeve Crew Neck Sweatshirt For Fall & Winter, Women's Clothing",8.47,4.7,20402,31K+,,https://www.temu.com/letter-print-pullover-sweatshirt-casual-long-sleeve-crew-neck-sweatshirt-for-fall-winter-womens-clothing-g-601099514947267.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/cce3c241994befcb153cdd7114d1bf18.jpg?imageView2/2/w/500/q/80/format/webp
"Plus Size Christmas Casual T-shirt, Women's Plus Tree Print Long Sleeve Round Neck Medium Stretch T-shirt",10.98,4.7,7337,17K+,Curve T-shirts,https://www.temu.com/plus-size-christmas-casual-t-shirt-womens-plus-tree-print-long-sleeve-round-neck-medium-stretch-t-shirt-g-601099523463651.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/87d1fde43e6d0a3468892e1f71c5d9b3.jpg?imageView2/2/w/500/q/80/format/webp
"Solid Spaghetti Wide Leg Jumpsuit, Casual Sleeveless Versatile Jumpsuit, Women's Clothing",11.47,4.6,9783,26K+,Women's Jumpsuits,https://www.temu.com/solid-spaghetti-wide-leg-jumpsuit-casual-sleeveless-versatile-jumpsuit-womens-clothing-g-601099517699751.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/82fb5b2172e98b624b4ce8fb383c8bc2.jpg?imageView2/2/w/500/q/80/format/webp
"Women's Sports Two-piece Set, Love Letter Print Long Sleeve Top & Pants For Fall & Winter, Women's Clothing",13.47,4.7,50943,19K+,,https://www.temu.com/womens-sports-two-piece-set-love-letter-print-long-sleeve-top-pants-for-fall-winter-womens-clothing-g-601099513081221.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/04fd59260a6be456f8ba92743f094dd0.jpg?imageView2/2/w/500/q/80/format/webp
